PhraseID,Sentence,Phrase,count,WordCount,Sentiment,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
35,1,how,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,chatgpt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,how,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,chatgpt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,could,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,affect,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1
38,1,could,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,affect,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1
39,1,your,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1,your,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,portfolio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1,stock,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1,portfolio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1,analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,analytics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1,insight,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1
45,1,how,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,1,insight,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1
46,1,chatgpt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1,how,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,1,chatgpt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,1,could,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
