PhraseID,Sentence,Phrase,count,WordCount,Sentiment,NegativityGI,PositivityGI,SentimentHE,NegativityHE,PositivityHE,SentimentLM,NegativityLM,PositivityLM,RatioUncertaintyLM,SentimentQDAP,NegativityQDAP,PositivityQDAP
1,1,see,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,billy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,see,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,billy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,joel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,joel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,pay,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
5,1,pay,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
5,1,tribute,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
6,1,tribute,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
7,1,jeff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,beck,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,jeff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,beck,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,with,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,with,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,‘people,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,get,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0
11,1,‘people,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,get,1,1,-1,1,0,0,0,0,0,0,0,0,0,0,0
12,1,ready’,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,cover,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,ready’,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,cover,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,msg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,msg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,madison,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
19,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,square,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
20,1,garden,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,uses,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
21,1,facial,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,uses,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
22,1,facial,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,recognition,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,recognition,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,ban,1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0
25,1,ban,1,1,0,0,0,0,0,0,-1,1,0,0,0,0,0
25,1,its,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,its,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,owner’s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1,enemies,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
27,1,owner’s,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,enemies,1,1,-1,1,0,0,0,0,0,0,0,0,-1,1,0
28,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,owner,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,owner,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,arena,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,the,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,arena,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,and,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,radio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,city,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,radio,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,city,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1,music,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,hall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1,music,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,hall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1,has,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,has,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
