market_segment_type,Sum_avg_price_per_room,arrival_month,Sum_no_of_previous_cancellations,booking_status
"",2821.16,2,0,Not_Canceled
Online,41762.48,1,231,Not_Canceled
"",6278.65,12,4,Not_Canceled
"",4748.18,7,0,Not_Canceled
Complementary,408,9,0,Not_Canceled
Online,131209.74,7,0,Not_Canceled
Aviation,95,6,0,Canceled
"",11216.98,9,0,Not_Canceled
Corporate,1305,6,0,Canceled
Corporate,454,4,2,Canceled
Corporate,3214.63,9,0,Canceled
Online,57064.6,3,0,Canceled
Offline,23537.58,2,1,Not_Canceled
"",5395.17,5,0,Not_Canceled
Offline,28968.18,7,0,Not_Canceled
Corporate,4297,4,13,Not_Canceled
Complementary,0,6,7,Not_Canceled
Online,119558.49,9,1,Canceled
Complementary,52,1,9,Not_Canceled
Corporate,831,3,0,Canceled
Complementary,15,10,11,Not_Canceled
Offline,18386.05,5,0,Canceled
Aviation,158,7,0,Not_Canceled
"",4226.48,6,0,Canceled
"",602.29,12,0,Canceled
Complementary,0,5,10,Not_Canceled
Corporate,372,1,0,Canceled
Aviation,1010,5,1,Not_Canceled
Corporate,16592.97,10,37,Not_Canceled
"",34622.83,,14,Not_Canceled
Complementary,12,8,1,Not_Canceled
Aviation,88,2,0,Not_Canceled
Corporate,447,7,3,Canceled
"",7191.88,9,0,Canceled
Complementary,21.6,12,16,Not_Canceled
Offline,59207.65,6,0,Canceled
Corporate,1750.5,11,0,Canceled
Aviation,475,6,0,Not_Canceled
"",3251.22,7,0,Canceled
Aviation,660,9,0,Canceled
"",1273.82,2,0,Canceled
Offline,120821.43,10,46,Not_Canceled
Offline,48437.76,8,0,Not_Canceled
Offline,22161.98,11,0,Canceled
Corporate,14857.14,11,49,Not_Canceled
Offline,63656.58,10,0,Canceled
Online,55529.46,11,5,Canceled
Offline,38500.83,11,0,Not_Canceled
Online,124272.86,4,0,Not_Canceled
"",86.75,1,0,Canceled
Corporate,8647,7,28,Not_Canceled
Corporate,2005.4,8,0,Canceled
"",9794.86,10,0,Not_Canceled
Corporate,6715.5,8,9,Not_Canceled
"",4197.06,10,0,Canceled
Corporate,13690.33,2,14,Not_Canceled
Online,77220.7199999999,5,0,Canceled
"",3209.54,3,0,Not_Canceled
"",2276.1,1,0,Not_Canceled
Offline,16464.21,8,1,Canceled
Aviation,315,10,0,Canceled
Online,191273.69,10,5,Not_Canceled
Offline,53506.22,9,0,Canceled
"",5053.41,4,0,Not_Canceled
"",3240.14,5,0,Canceled
Offline,32867.86,4,0,Not_Canceled
Offline,39034.39,5,0,Not_Canceled
Online,76749.4700000001,4,0,Canceled
"",2095.21,11,0,Canceled
Offline,98842.3899999999,9,9,Not_Canceled
Complementary,13.5,2,6,Not_Canceled
Online,25700.51,2,1,Canceled
"",5584.59,6,2,Not_Canceled
Offline,205,12,0,Canceled
Aviation,2631,10,0,Not_Canceled
Online,58757.83,2,47,Not_Canceled
Corporate,10889.77,3,20,Not_Canceled
Aviation,267,3,0,Not_Canceled
Complementary,0,4,0,Not_Canceled
Offline,21257.53,1,1,Not_Canceled
Offline,28888.44,7,0,Canceled
Offline,21958.12,4,52,Canceled
"",6248.52,8,0,Not_Canceled
"",4575.2,8,0,Canceled
"",3073.5,4,0,Canceled
Corporate,6561.7,6,17,Not_Canceled
Corporate,842,2,0,Canceled
Online,153400.78,12,14,Not_Canceled
Corporate,20151.88,9,54,Not_Canceled
Online,35945.57,12,0,Canceled
Online,112509.15,6,0,Not_Canceled
Aviation,380,4,0,Canceled
Online,96359.6700000001,3,0,Not_Canceled
Corporate,15045.38,5,26,Not_Canceled
Offline,5595.81,2,1,Canceled
Complementary,196.5,11,3,Not_Canceled
Offline,10815.25,3,0,Canceled
Online,204676.43,9,1,Not_Canceled
Aviation,269,11,0,Canceled
"",1709.92,3,0,Canceled
Online,187537.23,8,0,Not_Canceled
Offline,78698.3699999999,6,0,Not_Canceled
"",16429.23,,0,Canceled
Aviation,1275,9,4,Not_Canceled
Online,120534.82,5,0,Not_Canceled
"",5039.11,11,0,Not_Canceled
Corporate,1690.88,10,0,Canceled
Aviation,1945,4,0,Not_Canceled
Complementary,72.33,7,2,Not_Canceled
Complementary,372.5,3,11,Not_Canceled
Corporate,6248.67,1,9,Not_Canceled
Offline,29862.48,3,1,Not_Canceled
Corporate,14427.29,12,42,Not_Canceled
Online,130637.03,10,0,Canceled
Online,123806.79,11,1,Not_Canceled
Online,112052.29,7,0,Canceled
Online,148044.63,8,0,Canceled
Online,1389.05,1,0,Canceled
Online,80016.5800000001,6,0,Canceled
Aviation,742,11,0,Not_Canceled
Offline,50926.26,12,4,Not_Canceled
Aviation,1970,5,0,Canceled
Corporate,6590.58,5,0,Canceled
