no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,arrival_year,no_of_special_requests,room_type_reserved,market_segment_type,type_of_meal_plan,booking_status
2,0,2,3,0,5,11,6,0,0,0,107,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,2,1,0,1,2,28,0,0,0,60,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,2,0,211,5,20,0,0,0,100,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,1,0,48,4,11,0,0,0,95,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,0,2,0,346,9,13,0,0,0,115,2018,1,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,1,3,0,34,10,15,0,0,0,108,2017,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,3,0,83,12,26,0,0,0,106,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
3,0,0,4,0,121,7,6,0,0,0,97,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,5,0,44,10,18,0,0,0,133,2018,3,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,1,0,0,0,9,11,0,0,0,85,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,2,1,0,35,4,30,0,0,0,140,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,2,1,0,30,11,26,0,0,0,88,2018,0,Room_Type 1,Online,Not Selected,Canceled
1,0,2,0,0,95,11,20,0,0,0,90,2018,2,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,2,0,256,6,15,0,0,0,115,2018,1,Room_Type 1,Online,Meal Plan 2,Canceled
1,0,1,0,0,0,10,5,0,0,0,96,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,3,0,1,8,10,0,0,0,96,2017,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,2,0,99,10,30,0,0,0,65,2017,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,0,0,12,10,4,0,0,0,72,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,2,0,99,10,30,0,0,0,65,2017,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,1,0,122,11,25,0,0,0,67,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,2,4,0,2,3,20,0,0,0,85,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,3,0,37,10,13,0,0,0,105,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,99,4,28,0,0,0,114,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,60,9,21,0,0,0,65,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,0,2,0,2,5,19,0,0,0,110,2018,0,Room_Type 4,Aviation,Meal Plan 1,Canceled
2,0,0,2,0,56,9,17,0,0,0,82,2017,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,1,1,0,3,9,19,0,0,0,178,2017,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
0,2,0,3,0,56,12,7,0,0,0,82,2018,1,Room_Type 2,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,2,1,9,0,0,0,70,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,72,10,7,0,0,0,86,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,1,1,23,4,27,0,0,0,115,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,2,1,0,34,6,19,0,0,0,81,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,3,0,247,11,19,0,0,0,64,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,2,1,0,186,7,30,0,0,0,122,2018,1,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,0,4,0,64,11,1,0,0,0,94,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,35,6,21,0,0,0,102,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,41,6,27,0,0,0,98,2018,1,Room_Type 1,Online,Not Selected,Canceled
2,0,0,4,0,55,11,18,0,0,0,60,2017,1,Room_Type 4,Offline,Meal Plan 1,Not_Canceled
2,0,0,1,0,55,4,6,0,0,0,104,2018,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
1,0,1,3,0,7,12,29,0,0,0,126,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,2,5,0,124,5,30,0,0,0,88,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,2,0,169,4,22,0,0,0,106,2018,0,Room_Type 1,Online,Meal Plan 2,Canceled
1,0,1,2,0,6,5,16,0,0,0,137,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,4,0,51,11,11,0,0,0,60,2017,1,Room_Type 4,Offline,Meal Plan 1,Not_Canceled
2,0,1,0,0,13,6,13,0,0,0,89,2018,2,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,3,0,100,5,19,0,0,0,136,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,2,0,117,12,26,0,0,0,94,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,4,0,39,4,20,0,0,0,121,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,0,3,0,86,4,6,0,0,0,99,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,2,0,1,1,2,9,2,0,0,0,258,2018,1,Room_Type 6,Online,Meal Plan 1,Not_Canceled
1,0,0,3,0,19,5,3,0,0,0,120,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
