weight,token
0.005,  #
0.006,  #>
0,  *
0.01,  *not*
-0.02,  -
0.013,  --
0.019,  /
0.002,  0
0.018,  00
0.001,  01
-0.01,  02
-0.02,  03
0.076,  04
-0.02,  05
-0.01,  06
0.021,  07
-0.02,  08
0.029,  09
0.021,  1
0.003,  11
-0.01,  12
0,  13
-0.03,  14
-0.04,  15
-0.03,  16
0,  17
0.051,  18
0.011,  19
0.036,  1993
-0.05,  2
-0.01,  20
0.034,  2000
-0.03,  21
0.058,  22
0.023,  23
-0.02,  24
0,  25
0.028,  26
0.062,  27
0.001,  28
-0.04,  3
0.032,  30
0,  31
0.032,  32
0,  33
0.005,  34
-0.03,  35
-0.01,  38
0,  4
-0.01,  40
0.028,  41
0,  42
0.014,  44
0.009,  46
0.016,  5
-0.01,  52
-0.02,  55
0.01,  58
-0.04,  6
-0.04,  93
0.009,  <1993Apr14
-0.02,  <1993Apr15
0,  <1993Apr16
0,  <1993Apr19
0.011,  <1993Apr20
0.039,  <1993Apr21
0.04,  <1993Apr22
-0.04,  <1993Apr5
0.009,  <kmr4
0.001,  <markp
0.004,  <mathew@mantis
0.03,  =
0.019,  >
-0.02,  >>
0,  >>>
0,  >>>>
0.022,  >I
-0.04,  >In
0.006,  >The
-0.01,  >You
0.019,  >and
0.006,  >it
0.004,  >that
-0.02,  >the
-0.03,  >to
0,  >what
0.011,  A
0.006,  ALL
0.047,  After
0.025,  All
0.002,  Allah
0.03,  An
-0.04,  And
0,  Apr
0,  Arizona
0.012,  Arromdee
0,  As
0,  At
0.001,  B
0.001,  Benedikt
0.027,  Bible
0.024,  Bill
0,  Bob
0.014,  Bobby
-0.01,  But
-0.01,  By
-0.02,  C
-0.02,  COM
-0.03,  COM>
0.006,  CS
0.065,  CWRU
-0.01,  California
0.025,  Can
0.017,  Christ
0.065,  Christian
0.013,  Christianity
0.034,  Christians
0.007,  Christmas
0.012,  Cobb
-0.02,  College
0.007,  Computer
0,  Dan
0,  Dave
0.007,  David
0.004,  Dean
-0.02,  Department
0.006,  Dept
-0.04,  Distribution
0.016,  Don
0.009,  Dwyer
0.011,  E
0,  EDU
0.006,  EDU>
0.005,  Earth
0,  East
0,  Einstein
0.009,  FAQ
0.012,  FOR
0.007,  For
0,  Frank
-0.05,  Fri
0.004,  G
0.029,  GMT
-0.01,  GO
0.005,  Germany
0.082,  God
0,  Good
0,  Gregg
0,  Gulf
0.002,  H
0,  HELL
0.012,  Halat
0.01,  He
-0.03,  Here
0.048,  How
-0.01,  However
0.065,  I
0.001,  I3150101@dbstu1
0,  IN
0,  IS
0.047,  If
-0.01,  Illinois
-0.01,  In
0.011,  In-Reply-To
-0.02,  Inc
0.022,  Institute
0.003,  Is
-0.02,  Islam
0.001,  It
-0.01,  J
0.006,  James
0.04,  Jesus
0,  Jewish
0.01,  Jim
0.028,  John
0.011,  Jon
-0.01,  Keith
0.006,  Ken
0.024,  Kent
0.015,  Keywords
-0.03,  King
0.001,  Koresh
0.001,  LSD
0,  Lines
0.001,  Lippard
0.007,  Livesey
0.004,  Lucifer
0.031,  M
0,  Mark
0.006,  Maybe
0,  Mike
0.04,  Mon
0.041,  Morality
0.012,  Mr
-0.03,  My
0,  N
-0.01,  NNTP-Posting-Host
0,  NOT
0,  News
-0.01,  Nntp-Posting-Host
0.036,  No
0,  Now
0.061,  O
0,  OK
0,  On
0.008,  One
0.005,  Or
0.003,  Organization
0,  P
0,  Pasadena
0.003,  People
0.015,  Physics
-0.01,  Please
0.001,  Pundurs
0.002,  Quran
0.053,  R
0.019,  Rawlins
0.013,  Re
0.01,  References
0.014,  Reply-To
-0.01,  Research
0.042,  Robert
0.004,  Ryan
0,  S
0.024,  Sandvik
0.012,  Science
0.076,  Sender
0.072,  So
-0.02,  Sorry
-0.04,  State
0.028,  Sun
-0.02,  System
0,  T
-0.01,  TEK
0.016,  TIN
0,  TO
0.026,  Technology
0.03,  That
0,  The
0.017,  Then
0.048,  There
0,  Therefore
-0.03,  These
0,  They
0.031,  This
-0.02,  To
-0.02,  Tue
0.007,  Tyre
0,  U
-0.03,  USENET
0,  UUCP>
-0.04,  University
0,  Wainwright
0.003,  War
0.013,  We
0.022,  Wed
0.028,  Well
-0.01,  What
0,  Which
0.061,  Who
-0.01,  Why
0.011,  X
0.003,  X-Newsreader
-0.01,  Xref
-0.03,  YOU
0.002,  Yet
-0.01,  You
0,  Your
-0.01,  [
0.016,  [version
-0.05,  ]
-0.02,  a
0.011,  able
0,  abortion
-0.03,  about
-0.04,  above
0.013,  ac
0,  accept
0.009,  according
-0.02,  account
0,  action
-0.02,  actions
0,  actual
-0.01,  actually
0.015,  addition
-0.02,  after
0,  again
-0.02,  against
0.006,  agate
0.015,  ago
-0.02,  agree
-0.03,  all
0.007,  along
0.022,  already
-0.02,  also
0.042,  alt
0.015,  although
0.014,  always
0.01,  am
0.007,  among
0,  an
0.009,  analogy
0.027,  and
-0.01,  andrew
0.001,  animals
0.066,  another
0.012,  ans
0,  answer
0.023,  any
-0.05,  anyone
0.028,  anything
0.027,  ap
0.033,  apple
0.001,  apply
0,  arabic
-0.07,  are
0.002,  aren
0.026,  argue
0.008,  arguing
0.021,  argument
0.019,  arguments
0.009,  arizona
0,  around
0.001,  arrogant
0.012,  arromdee@jyusenkyou
-0.01,  article
0,  as
0.007,  asd
0,  ask
0.011,  asked
0,  assertion
0.039,  assumption
-0.04,  at
0.103,  atheism
0.011,  atheist
0,  atoms
0,  att
-0.01,  attempt
0,  attitude
0.017,  au
0.016,  au>
0.008,  away
-0.01,  bank
0,  based
0,  basis
-0.01,  bb3
-0.03,  be
0.071,  bear
0.01,  bears
-0.05,  because
0,  become
0.032,  been
-0.01,  before
-0.01,  behavior
0,  being
0.007,  belief
0.015,  beliefs
0,  believe
0.026,  believed
0.004,  below
0.009,  best
-0.01,  better
0,  between
0,  beyond
0.03,  bible
0.012,  big
0,  bio
0.012,  bit
-0.01,  black
-0.03,  bogus
0,  book
0.005,  books
-0.02,  born
0.007,  both
0,  bu
-0.02,  but
-0.01,  by
-0.01,  c
0,  ca>
0,  call
0,  called
0.007,  caltech
-0.02,  can
0.008,  cannot
0,  car
0.016,  case
0.071,  cause
-0.01,  cb
0.042,  cc
0.001,  ccit
0,  certain
0,  certainly
0.018,  cis
0.001,  civilian
0,  civilians
0.025,  claim
0,  claiming
0.011,  claims
0,  clear
0.019,  club
0,  co
0.012,  cobb@alexia
0.042,  columbia
0.004,  com
0.03,  com>
0.001,  come
0.007,  comes
0.017,  common
0.007,  compaq
0,  completely
0.002,  complicated
0.012,  conclusion
0.017,  consider
0,  considered
0.001,  correct
0.029,  could
0.036,  couldn
-0.01,  course
-0.01,  crabapple
0.009,  created
0.004,  creation
0.02,  creationism
0,  cso
0.043,  ctr
-0.03,  culture
0,  cwru
0,  d
0,  darwin
0.01,  das-news
0,  day
0,  de
0,  de>
0.013,  dead
0.004,  dean
0.004,  decay@cbnewsj
0,  definitely
0.009,  definition
0.01,  deleted
0.018,  deleted]
0,  determine
0.008,  dg
-0.05,  did
0.024,  didn
0,  die
-0.02,  difference
-0.02,  different
0,  difficult
0.004,  digex
0.007,  disagree
-0.01,  discuss
0.004,  discussion
-0.03,  do
-0.02,  does
0.007,  doesn
